source,year,main_item,item,amount_thousand_try
expense_detail,2016,B. Faiz Giderleri,-Tahvil Faizi,37679678.0
expense_detail,2016,B. Faiz Giderleri,b) Dış Borç Faiz Ödemeleri,13148053.0
expense_detail,2016,B. Faiz Giderleri,e) Kira Sertifikası Giderleri,1547269.0
ministries,2016,Genel Bütçeli İdareler,Cumhurbaşkanlığı,434096.0
ministries,2016,Genel Bütçeli İdareler,TBMM,840029.0
ministries,2016,Genel Bütçeli İdareler,Anayasa Mahkemesi,54974.0
ministries,2016,Genel Bütçeli İdareler,Yargıtay,215152.0
ministries,2016,Genel Bütçeli İdareler,Danıştay,139793.0
ministries,2016,Genel Bütçeli İdareler,Sayıştay,225656.5
ministries,2016,Genel Bütçeli İdareler,Başbakanlık,1295211.0
ministries,2016,Genel Bütçeli İdareler,Milli İstihbarat Teşkilatı Müsteşarlığı,1636803.0
ministries,2016,Genel Bütçeli İdareler,Milli Güvenlik Kurulu Genel Sekreterliği,25702.0
ministries,2016,Genel Bütçeli İdareler,Basın Yayın ve Enformasyon Genel Müdürlüğü,281617.0
ministries,2016,Genel Bütçeli İdareler,Hazine Müsteşarlığı,73223426.0
ministries,2016,Genel Bütçeli İdareler,Diyanet İşleri Başkanlığı,6482979.0
ministries,2016,Genel Bütçeli İdareler,Afet ve Acil Durum Yönetimi Başkanlığı,1052242.0
ministries,2016,Genel Bütçeli İdareler,Adalet Bakanlığı,10569566.0
ministries,2016,Genel Bütçeli İdareler,Milli Savunma Bakanlığı,26451504.0
ministries,2016,Genel Bütçeli İdareler,İçişleri Bakanlığı,4794246.0
ministries,2016,Genel Bütçeli İdareler,Jandarma Genel Komutanlığı,8276881.0
ministries,2016,Genel Bütçeli İdareler,Emniyet Genel Müdürlüğü,21140638.0
ministries,2016,Genel Bütçeli İdareler,Sahil Güvenlik Komutanlığı,576812.0
ministries,2016,Genel Bütçeli İdareler,Kamu Düzeni ve Güvenliği Müsteşarlığı,19962.0
ministries,2016,Genel Bütçeli İdareler,Göç İdaresi Genel Müdürlüğü,271020.0
ministries,2016,Genel Bütçeli İdareler,Dışişleri Bakanlığı,2739482.0
ministries,2016,Genel Bütçeli İdareler,Maliye Bakanlığı,156106374.0
ministries,2016,Genel Bütçeli İdareler,Gelir İdaresi Başkanlığı,2785908.0
ministries,2016,Genel Bütçeli İdareler,Milli Eğitim Bakanlığı,76354306.0
ministries,2016,Genel Bütçeli İdareler,Sağlık Bakanlığı,4212521.0
ministries,2016,Genel Bütçeli İdareler,Türkiye Kamu Hastaneleri Kurumu,11950900.0
ministries,2016,Genel Bütçeli İdareler,Türkiye Halk Sağlığı Kurumu,9111684.0
ministries,2016,Genel Bütçeli İdareler,Çalışma ve Sosyal Güvenlik Bakanlığı,38389157.0
ministries,2016,Genel Bütçeli İdareler,Devlet Personel Başkanlığı,29753.0
ministries,2016,Genel Bütçeli İdareler,Enerji ve Tabii Kaynaklar Bakanlığı,1988830.5
ministries,2016,Genel Bütçeli İdareler,Kültür ve Turizm Bakanlığı,2777769.0
ministries,2016,Genel Bütçeli İdareler,Hakimler ve Savcılar Yüksek Kurulu,55378.0
ministries,2016,Genel Bütçeli İdareler,Aile ve Sosyal Politikalar Bakanlığı,24799651.0
ministries,2016,Genel Bütçeli İdareler,Avrupa Birliği Bakanlığı,318725.0
ministries,2016,Genel Bütçeli İdareler,"Bilim, Sanayi ve Teknoloji Bakanlığı",4375275.0
ministries,2016,Genel Bütçeli İdareler,Çevre ve Şehircilik Bakanlığı,1686435.0
ministries,2016,Genel Bütçeli İdareler,Tapu ve Kadastro Genel Müdürlüğü,867372.0
ministries,2016,Genel Bütçeli İdareler,Ekonomi Bakanlığı,1682707.0
ministries,2016,Genel Bütçeli İdareler,Gençlik ve Spor Bakanlığı,9676240.0
ministries,2016,Genel Bütçeli İdareler,"Gıda, Tarım ve Hayvancılık Bakanlığı",17175234.0
ministries,2016,Genel Bütçeli İdareler,Gümrük ve Ticaret Bakanlığı,1052766.0
ministries,2016,Genel Bütçeli İdareler,Kalkınma Bakanlığı,2008578.0
ministries,2016,Genel Bütçeli İdareler,Türkiye İstatistik Kurumu Başkanlığı,385234.0
ministries,2016,Genel Bütçeli İdareler,Orman ve Su İşleri Bakanlığı,12986236.0
ministries,2016,Genel Bütçeli İdareler,Meteoroloji Genel Müdürlüğü,278897.0
ministries,2016,Genel Bütçeli İdareler,"Ulaştırma, Denizcilik ve Haberleşme Bakanlığı",18978587.0
balance,2017,Harcamalar,Harcamalar,645124278.0
balance,2017,Harcamalar,1-Faiz Hariç Harcama,587624278.0
balance,2017,Harcamalar,Personel Giderleri,162638925.0
balance,2017,Harcamalar,Sosyal Güv.Kur. Devlet Primi,27138075.0
balance,2017,Harcamalar,Mal ve Hizmet Alımları,52119062.0
balance,2017,Harcamalar,Cari Transferler,249265903.0
balance,2017,Harcamalar,Sermaye Giderleri,66243000.0
balance,2017,Harcamalar,Sermaye Transferleri,10881283.0
balance,2017,Harcamalar,Borç Verme,12917108.0
balance,2017,Harcamalar,Yedek Ödenekler,6420922.0
balance,2017,Harcamalar,2-Faiz Harcamaları,57500000.0
balance,2017,Gelirler,Gelirler,598273690.35
balance,2017,Gelirler,1-Genel Bütçe Gelirleri,584309762.0
balance,2017,Gelirler,Vergi Gelirleri,511085194.0
balance,2017,Gelirler,Teşebbüs ve Mülkiyet Gelirleri,17124643.0
balance,2017,Gelirler,Alınan Bağış ve Yardımlar ile Özel Gelirler,1488699.0
balance,2017,Gelirler,"Faizler, Paylar ve Cezalar",37545356.0
balance,2017,Gelirler,Sermaye Gelirleri,15405461.0
balance,2017,Gelirler,Alacaklardan Tahsilat,1660409.0
balance,2017,Gelirler,2-Özel Bütçeli İdarelerin Öz Gelirleri,9777075.35
balance,2017,Gelirler,3-Düzen. ve Denet. Kurumların Gelirleri,4186853.0
balance,2017,Denge,Bütçe Dengesi,-46850587.649999976
balance,2017,Denge,Faiz Dışı Denge,10649412.350000024
expense_detail,2017,1. Personel Giderleri,1. Personel Giderleri,162638925.0
expense_detail,2017,1. Personel Giderleri,Memurlar,140427713.0
expense_detail,2017,1. Personel Giderleri,İşçiler,8179870.0
expense_detail,2017,1. Personel Giderleri,Sözleşmeli Personel,7124757.0
expense_detail,2017,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,27138075.0
expense_detail,2017,3. Mal ve Hizmet Alım Giderleri,3. Mal ve Hizmet Alım Giderleri,52119062.0
expense_detail,2017,3. Mal ve Hizmet Alım Giderleri,a) Savunma-Güvenlik,14753929.0
expense_detail,2017,4. Cari Transferler,4. Cari Transferler,249265903.0
expense_detail,2017,4. Cari Transferler,KİT Görevlendirme Giderleri,2957780.0
expense_detail,2017,4. Cari Transferler,Ziraat Bankası-Tarımsal Üreticilere Kredi Faiz Desteği,2393554.0
expense_detail,2017,4. Cari Transferler,-Devlet Sosyal Güvenlik Katkısı,47746362.0
expense_detail,2017,4. Cari Transferler,-Faturalı Ödemeler (Görev Zararı),5597977.0
expense_detail,2017,4. Cari Transferler,-Emeklilere Ek Ödemeler (Görev Zararı),8631166.0
expense_detail,2017,4. Cari Transferler,-Sosyal Güvenlik Açık Finansmanı (Hazine Yardımı),21623021.0
